city,pair,correlation
Saint-Jean-Sur-Richelieu,PM2.5 vs NO2,0.41075429661063795
Sarnia,PM2.5 vs NO2,0.3420686853102213
Saskatoon,PM2.5 vs NO2,-0.006543623142984147
Sault Ste. Marie,PM2.5 vs NO2,0.05247825536521906
Sherwood Park,PM2.5 vs NO2,0.07397679046835387
Simcoe,PM2.5 vs NO2,0.35661760738454756
Smithers,PM2.5 vs NO2,0.6198362199746448
Southampton,PM2.5 vs NO2,0.3089837688334048
Squamish,PM2.5 vs NO2,0.24705874959821886
St Lina,PM2.5 vs NO2,0.2404250047318677
St. Albert,PM2.5 vs NO2,0.15423028851892318
St. Andrews,PM2.5 vs NO2,0.39957130654373646
St. Catharines,PM2.5 vs NO2,0.2878973130777017
St. John's,PM2.5 vs NO2,0.1607790791281613
Steeper,PM2.5 vs NO2,0.30042475341062863
Sudbury,PM2.5 vs NO2,0.034785297114018385
Swift Current,PM2.5 vs NO2,-0.009926899988440697
Sydney,PM2.5 vs NO2,0.34220191784919674
Terrace,PM2.5 vs NO2,0.5271109853253294
Terrebonne,PM2.5 vs NO2,0.5107274506012328
Thorsby,PM2.5 vs NO2,0.2775512565195453
Thunder Bay,PM2.5 vs NO2,0.21593358835151313
Tomahawk,PM2.5 vs NO2,0.30781525017317635
Toronto,PM2.5 vs NO2,0.36498039041815566
Vernon,PM2.5 vs NO2,0.13327500049552118
Victoria,PM2.5 vs NO2,0.29096397740350166
Wapasu,PM2.5 vs NO2,0.06589985773698402
Wellington,PM2.5 vs NO2,0.2572382980169033
Whistler,PM2.5 vs NO2,0.2577076167417893
Whitehorse,PM2.5 vs NO2,0.7892283065458362
Williams Lake,PM2.5 vs NO2,0.12637589639985153
Windsor,PM2.5 vs NO2,0.28511950340627074
Winnipeg,PM2.5 vs NO2,-0.024337308811787705
Yellowknife,PM2.5 vs NO2,0.013202493392818523
Anzac,PM2.5 vs SO2,-0.0066386519601570985
Ardrossan,PM2.5 vs SO2,0.006187124559536922
Beaverlodge,PM2.5 vs SO2,0.097421288046779
Brossard,PM2.5 vs SO2,0.1649840453750918
Bruderheim,PM2.5 vs SO2,0.08015014046137049
Buffalo Narrows,PM2.5 vs SO2,0.1182286311385214
Burin,PM2.5 vs SO2,0.11391029266459585
Calgary,PM2.5 vs SO2,0.1505585211987689
Caroline,PM2.5 vs SO2,0.05394961301863652
Castlegar,PM2.5 vs SO2,0.05005040068930185
Charlottetown,PM2.5 vs SO2,0.3766248749316189
Cold Lake,PM2.5 vs SO2,-0.03353780773984009
Conklin,PM2.5 vs SO2,0.018933390498401894
Corner Brook,PM2.5 vs SO2,0.11101103177548448
Crofton,PM2.5 vs SO2,0.3174721159736273
Dartmouth,PM2.5 vs SO2,-0.09807849905106217
Debolt,PM2.5 vs SO2,-0.01623888022413184
Drayton Valley,PM2.5 vs SO2,0.15602204438877135
Edmonton,PM2.5 vs SO2,0.10937288726088006
Edmundston,PM2.5 vs SO2,-0.1436291112230499
Edson,PM2.5 vs SO2,0.0435222419143842
Elk Island,PM2.5 vs SO2,0.02223768393051871
Estevan,PM2.5 vs SO2,0.01082368288704139
Flin Flon,PM2.5 vs SO2,0.218130775124998
Fort Chipewyan,PM2.5 vs SO2,0.1608292246947031
Fort Mckay,PM2.5 vs SO2,0.07006205215881436
Fort Mcmurray,PM2.5 vs SO2,-0.00012361801579224713
Fort Saskatchewan,PM2.5 vs SO2,0.02772944810274647
Fort Simpson,PM2.5 vs SO2,
Fort Smith,PM2.5 vs SO2,0.1415631121283173
Fort St. John,PM2.5 vs SO2,0.004739732669356633
Gatineau,PM2.5 vs SO2,0.1510282533806144
Genesee,PM2.5 vs SO2,-0.07248817899340457
Gibbons,PM2.5 vs SO2,0.3486577459853207
Grand Falls - Windsor,PM2.5 vs SO2,0.040643850216590637
Grande Prairie,PM2.5 vs SO2,0.09960415842803753
Halifax,PM2.5 vs SO2,-0.03627734890781746
Hamilton,PM2.5 vs SO2,0.3334124545953024
Hinton,PM2.5 vs SO2,0.03435624917531265
Inuvik,PM2.5 vs SO2,0.15634115366645182
Janvier,PM2.5 vs SO2,-0.029753887229394888
Kamloops,PM2.5 vs SO2,0.19019600987357368
Kelowna,PM2.5 vs SO2,0.21254438986046906
Kitimat,PM2.5 vs SO2,0.22082300015707002
Labrador City,PM2.5 vs SO2,0.025239813134929703
Lamont,PM2.5 vs SO2,-0.0411294600360193
Langdale,PM2.5 vs SO2,0.14994285532085208
Lethbridge,PM2.5 vs SO2,0.06784435726960733
Levis,PM2.5 vs SO2,0.29094326097528744
Medicine Hat,PM2.5 vs SO2,0.13792892177663263
Metro Van - Abbotsford,PM2.5 vs SO2,0.1175001461758588
Metro Van - Burnaby,PM2.5 vs SO2,0.244098881719772
Metro Van - Delta,PM2.5 vs SO2,0.05443475986909987
