Date,City,Actual_PM25,Forecast_PM25
2023-09-01,Toronto,6.8,7.860512914246085
2023-09-02,Toronto,7.625,7.489455854100665
2023-09-03,Toronto,9.083333333,7.657524896341183
2023-09-04,Toronto,15.39130435,8.285788239075139
2023-09-05,Toronto,8.357142857,8.346486629011828
2023-09-06,Toronto,8.833333333,8.547525342807756
2023-09-07,Toronto,6.25,8.219701648753428
2023-09-08,Toronto,2.083333333,7.863703305769215
2023-09-09,Toronto,3.708333333,7.492646245623796
2023-09-10,Toronto,5.0,7.660715287864313
2023-09-11,Toronto,4.791666667,8.288978630598269
2023-09-12,Toronto,6.666666667,8.349677020534958
2023-09-13,Toronto,3.533333333,8.550715734330886
2023-09-14,Toronto,4.958333333,8.222892040276559
2023-09-15,Toronto,7.416666667,7.866893697292346
2023-09-16,Toronto,9.458333333,7.495836637146926
2023-09-17,Toronto,8.458333333,7.663905679387444
2023-09-18,Toronto,8.791666667,8.2921690221214
2023-09-19,Toronto,3.958333333,8.352867412058089
2023-09-20,Toronto,5.833333333,8.553906125854017
2023-09-21,Toronto,8.291666667,8.22608243179969
2023-09-22,Toronto,4.958333333,7.870084088815476
2023-09-23,Toronto,8.291666667,7.499027028670056
2023-09-24,Toronto,11.16666667,7.667096070910574
2023-09-25,Toronto,11.0,8.29535941364453
2023-09-26,Toronto,14.33333333,8.35605780358122
2023-09-27,Toronto,7.916666667,8.557096517377147
2023-09-28,Toronto,6.041666667,8.22927282332282
2023-09-29,Toronto,6.416666667,7.8732744803386066
2023-09-30,Toronto,10.75,7.502217420193187
2023-10-01,Toronto,7.5,7.670286462433705
2023-10-02,Toronto,8.75,8.29854980516766
2023-10-03,Toronto,15.5,8.35924819510435
2023-10-04,Toronto,13.29166667,8.560286908900277
2023-10-05,Toronto,10.79166667,8.23246321484595
2023-10-06,Toronto,5.458333333,7.876464871861737
2023-10-07,Toronto,3.166666667,7.505407811716317
2023-10-08,Toronto,0.625,7.673476853956835
2023-10-09,Toronto,3.833333333,8.30174019669079
2023-10-10,Toronto,3.416666667,8.36243858662748
2023-10-11,Toronto,4.708333333,8.563477300423408
2023-10-12,Toronto,5.5,8.23565360636908
2023-10-13,Toronto,4.333333333,7.879655263384867
2023-10-14,Toronto,3.041666667,7.508598203239448
2023-10-15,Toronto,1.333333333,7.676667245479965
2023-10-16,Toronto,2.875,8.30493058821392
2023-10-17,Toronto,4.916666667,8.36562897815061
2023-10-18,Toronto,9.25,8.566667691946538
2023-10-19,Toronto,7.083333333,8.23884399789221
2023-10-20,Toronto,6.125,7.882845654907998
2023-10-21,Toronto,2.625,7.511788594762578
2023-10-22,Toronto,1.666666667,7.679857637003096
2023-10-23,Toronto,5.916666667,8.308120979737051
2023-10-24,Toronto,7.375,8.36881936967374
2023-10-25,Toronto,10.54166667,8.569858083469668
2023-10-26,Toronto,14.70833333,8.242034389415341
2023-10-27,Toronto,7.583333333,7.886036046431128
2023-10-28,Toronto,2.375,7.514978986285708
2023-10-29,Toronto,2.875,7.683048028526226
2023-10-30,Toronto,3.041666667,8.311311371260182
2023-10-31,Toronto,7.541666667,8.372009761196871
2023-11-01,Toronto,4.708333333,8.573048474992799
2023-11-02,Toronto,7.208333333,8.245224780938472
2023-11-03,Toronto,8.041666667,7.8892264379542585
2023-11-04,Toronto,10.875,7.518169377808839
2023-11-05,Toronto,6.583333333,7.6862384200493565
2023-11-06,Toronto,10.375,8.314501762783312
2023-11-07,Toronto,4.5,8.375200152720002
2023-11-08,Toronto,2.833333333,8.57623886651593
2023-11-09,Toronto,6.041666667,8.248415172461602
2023-11-10,Toronto,4.291666667,7.892416829477389
2023-11-11,Toronto,5.083333333,7.521359769331969
2023-11-12,Toronto,4.916666667,7.689428811572487
2023-11-13,Toronto,6.333333333,8.317692154306442
2023-11-14,Toronto,4.583333333,8.378390544243132
