City,Date,PM25_daily,Year,Month
La Dore,2/8/2020,1.166666667,2020,2
La Dore,2/9/2020,2.791666667,2020,2
La Dore,2/10/2020,4.75,2020,2
La Dore,2/11/2020,4.041666667,2020,2
La Dore,2/12/2020,3.291666667,2020,2
La Dore,2/13/2020,2.583333333,2020,2
La Dore,2/14/2020,4,2020,2
La Dore,2/15/2020,5.764705882,2020,2
La Dore,2/16/2020,3.666666667,2020,2
La Dore,2/17/2020,4.375,2020,2
La Dore,2/18/2020,7.208333333,2020,2
La Dore,2/19/2020,2.75,2020,2
La Dore,2/20/2020,3.458333333,2020,2
La Dore,2/21/2020,3.083333333,2020,2
La Dore,2/22/2020,4.208333333,2020,2
La Dore,2/23/2020,6.875,2020,2
La Dore,2/24/2020,9.666666667,2020,2
La Dore,2/25/2020,3.958333333,2020,2
La Dore,2/26/2020,4,2020,2
La Dore,2/27/2020,3.958333333,2020,2
La Dore,2/28/2020,3.083333333,2020,2
La Dore,2/29/2020,3,2020,2
La Dore,3/1/2020,3.541666667,2020,3
La Dore,3/2/2020,6.333333333,2020,3
La Dore,3/3/2020,5.041666667,2020,3
La Dore,3/4/2020,2.458333333,2020,3
La Dore,3/5/2020,1.791666667,2020,3
La Dore,3/6/2020,2.125,2020,3
La Dore,3/7/2020,2.875,2020,3
La Dore,3/8/2020,2.833333333,2020,3
La Dore,3/9/2020,3.666666667,2020,3
La Dore,3/10/2020,3.791666667,2020,3
La Dore,3/11/2020,3.791666667,2020,3
La Dore,3/12/2020,6.375,2020,3
La Dore,3/13/2020,4.291666667,2020,3
La Dore,3/14/2020,2.208333333,2020,3
La Dore,3/15/2020,1.958333333,2020,3
La Dore,3/16/2020,4.708333333,2020,3
La Dore,3/17/2020,3.625,2020,3
La Dore,3/18/2020,5.375,2020,3
La Dore,3/19/2020,6.458333333,2020,3
La Dore,3/20/2020,5,2020,3
La Dore,3/21/2020,3,2020,3
La Dore,3/22/2020,3.583333333,2020,3
La Dore,3/23/2020,6.541666667,2020,3
La Dore,3/24/2020,4,2020,3
La Dore,3/25/2020,5.458333333,2020,3
La Dore,3/26/2020,4.791666667,2020,3
La Dore,3/27/2020,2,2020,3
La Dore,3/28/2020,2.916666667,2020,3
La Dore,3/29/2020,4.458333333,2020,3
La Dore,3/30/2020,2.166666667,2020,3
La Dore,3/31/2020,3.25,2020,3
La Dore,4/1/2020,1.958333333,2020,4
La Dore,4/2/2020,0.625,2020,4
La Dore,4/3/2020,1.875,2020,4
La Dore,4/4/2020,4.333333333,2020,4
La Dore,4/5/2020,2.958333333,2020,4
La Dore,4/6/2020,1.708333333,2020,4
La Dore,4/7/2020,1.291666667,2020,4
La Dore,4/8/2020,3.041666667,2020,4
La Dore,4/9/2020,4.041666667,2020,4
La Dore,4/10/2020,1.583333333,2020,4
La Dore,4/11/2020,0.5,2020,4
La Dore,4/12/2020,2.875,2020,4
La Dore,4/13/2020,5,2020,4
La Dore,4/14/2020,1.458333333,2020,4
La Dore,4/15/2020,3.208333333,2020,4
La Dore,4/16/2020,4.041666667,2020,4
La Dore,4/17/2020,3.5,2020,4
La Dore,4/18/2020,4.208333333,2020,4
La Dore,4/19/2020,4.458333333,2020,4
La Dore,4/20/2020,4.25,2020,4
La Dore,4/21/2020,4.458333333,2020,4
La Dore,4/22/2020,3.208333333,2020,4
La Dore,4/23/2020,3.208333333,2020,4
La Dore,4/24/2020,3.708333333,2020,4
La Dore,4/25/2020,3.291666667,2020,4
La Dore,4/26/2020,2.833333333,2020,4
La Dore,4/27/2020,3.25,2020,4
La Dore,4/28/2020,3.416666667,2020,4
La Dore,4/29/2020,4.291666667,2020,4
La Dore,4/30/2020,3.708333333,2020,4
La Dore,5/1/2020,1.833333333,2020,5
La Dore,5/2/2020,3.625,2020,5
La Dore,5/3/2020,5.416666667,2020,5
La Dore,5/4/2020,2.791666667,2020,5
La Dore,5/5/2020,2.25,2020,5
La Dore,5/6/2020,2.666666667,2020,5
La Dore,5/7/2020,2.666666667,2020,5
La Dore,5/8/2020,1.208333333,2020,5
La Dore,5/9/2020,1,2020,5
La Dore,5/10/2020,0.291666667,2020,5
La Dore,5/11/2020,1.916666667,2020,5
La Dore,5/12/2020,2.166666667,2020,5
La Dore,5/13/2020,2.708333333,2020,5
